onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.05540000000000589	0.0	+	1	noun	list	1	1	nomatch	chasser	-1	1	y	0.55874
0.5384999999999991	0.2	vjpcq	1	noun	list	1	2	nomatch	chasser	-1	1	y	0.55874
0.7383999999999986	0.0	+	1	noun	list	1	3	nomatch	chasser	-1	1	y	0.55874
1.1381999999999977	0.2	pcms	1	noun	list	1	4	nomatch	chasser	-1	1	y	0.55874
1.3380999999999972	0.0	+	1	noun	list	1	5	nomatch	chasser	-1	1	y	0.55874
1.7378999999999962	0.2	ns	1	noun	list	1	6	nomatch	chasser	-1	1	y	0.55874
1.937899999999999	0.0	+	1	noun	list	1	7	nomatch	chasser	-1	1	y	0.55874
2.337699999999998	0.2	lrwcdknm	1	noun	list	1	8	nomatch	chasser	-1	1	y	0.55874
2.5375999999999976	0.0	+	1	noun	list	1	9	nomatch	chasser	-1	1	y	0.55874
2.9373999999999967	0.2	loin	1	noun	list	1	10	nomatch	chasser	-1	1	y	0.55874
3.137299999999996	0.0	+	1	noun	list	1	11	nomatch	chasser	-1	1	y	0.55874
3.5370999999999952	0.0	+	1	noun	list	1	12	nomatch	chasser	-1	1	y	0.55874
5.536200000000008	0.0	CHASSER	1	noun	list	1	13	nomatch	chasser	-1	1	y	0.55874
6.152600000000007	0.0	+	1	noun	list	1	14	nomatch	chasser	-1	1	y	0.55874
6.094999999999999	0.0	[response]	1	noun	list	1	15	nomatch	chasser	-1	1	y	0.55874
7.935200000000009	0.0	+	2	noun	list	3	1	match	mon	3	1	p	0.67599
8.484899999999996	0.2	nljd	2	noun	list	3	2	match	mon	3	1	p	0.67599
8.701499999999996	0.0	+	2	noun	list	3	3	match	mon	3	1	p	0.67599
9.101700000000008	0.2	wxqn	2	noun	list	3	4	match	mon	3	1	p	0.67599
9.2851	0.0	+	2	noun	list	3	5	match	mon	3	1	p	0.67599
9.685100000000006	0.2	mon	2	noun	list	3	6	match	mon	3	1	p	0.67599
9.884799999999998	0.0	+	2	noun	list	3	7	match	mon	3	1	p	0.67599
10.284099999999995	0.2	moins	2	noun	list	3	8	match	mon	3	1	p	0.67599
10.484000000000009	0.0	+	2	noun	list	3	9	match	mon	3	1	p	0.67599
10.883800000000008	0.2	panier	2	noun	list	3	10	match	mon	3	1	p	0.67599
